"W1","2021-08-30 to 2020-09-03"
"W2","2021-09-06 to 2020-09-10"
"W3","2021-09-13 to 2020-09-17"
"W4","2021-09-20 to 2020-09-24"
"W5","2021-09-27 to 2020-10-01"      
"W6","2021-10-04 to 2020-10-08"
"W7","2021-10-11 to 2020-10-15"
"W8","2021-10-18 to 2020-10-22"
"W9","2021-10-25 to 2020-10-29"       
"W10","2021-11-01 to 2020-11-05"
"W11","2021-11-08 to 2020-11-12"
"W12","2021-11-15 to 2020-11-19"
"W13","2021-11-22 to 2020-11-26"        
"W14","2021-11-29 to 2020-12-03"

